bID,name,address,cord,numOfReview,rating,zipcode,cuisine
Bwj7nzWphGV6FaZ_ygTSOg,Happy Hot Hunan,"969 Amsterdam Ave, New York, NY 10025","40.80133, -73.96466",164,3.5,10025,chinese
YC-wGlO0oOkEIaCEDZv-ag,Yakitori Totto,"251 W 55th St, Fl 2, New York, NY 10019","40.765375, -73.983114",1319,4.0,10019,chinese
kesYSgOJW5krU6L8n9qQ4Q,Ichibantei,"401 E 13th St, New York, NY 10009","40.73063, -73.98275",226,4.0,10009,chinese
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou Cuisine Restaurant,"118 Eldridge St, New York, NY 10002","40.718454, -73.991664",872,4.5,10002,chinese
H_KyiRhwho8rdlw_R93_0Q,Marea,"240 Central Park S, New York, NY 10019","40.7674213694566, -73.9810554368179",2100,4.0,10019,chinese
CqQ2Og9kf-LhlUWtODalCQ,Blue Ribbon Sushi Bar & Grill - New York,"308 W 58th St, 6 Columbus Hotel, New York, NY 10019","40.7674948014194, -73.9831978922043",760,4.0,10019,chinese
PGeL1b4xNJggpZsHEGoxjg,Mr Chow,"121 Hudson St, New York, NY 10013","40.7201045, -74.0087721",391,3.0,10013,chinese
Vzx-7-jSEBz2g8NuGVhHvQ,Philippe By Philippe Chow,"33 E 60th St, New York, NY 10065","40.76409, -73.97039",725,3.5,10065,chinese
Bb0h5Rs8ugSM2CjulRhfBw,Spicy Moon East Village,"328 E 6th St, New York, NY 10003","40.72674, -73.98722",365,4.5,10003,chinese
8plXW6ZQI1awPu1scms3jQ,Silky Kitchen,"138 W 46th St, New York, NY 10036","40.757888, -73.984006",12,4.5,10036,chinese
v2dtG37r1ThqtfEfiFsAUg,Shanghai Mong,"30 W 32nd St, New York, NY 10001","40.7476119995117, -73.9871597290039",559,3.0,10001,chinese
xEDD2ScBU3jHhWxlMC7dkQ,Nougatine at Jean-Georges,"1 Central Park W, New York, NY 10023","40.76891, -73.98176",1141,4.0,10023,chinese
qHi_FA4zSEkFshXQ4Chc9A,Jiang Diner,"309 E 5th St, New York, NY 10003","40.7268045, -73.9882662",132,4.0,10003,chinese
53lgp8fFEuK3Yo7yeXc89A,Tim Ho Wan - Hell's Kitchen,"610 9th Ave, New York, NY 10036","40.75935, -73.99175",408,3.5,10036,chinese
7DnZWIn1Dcsvq-_pIXXFZQ,Hortus NYC,"271 5th Ave, New York, NY 10016","40.745481, -73.986518",222,4.5,10016,chinese
xrnk8mgoV7up6fauVmugpw,Jun-Men Ramen Bar,"249 9th Ave, New York, NY 10001","40.748209, -74.00047",634,4.0,10001,chinese
GGRMY-twaqZf_NIAprBJkg,Junzi Kitchen,"135 W 41st St, New York, NY 10036","40.754886, -73.985688",131,4.0,10036,chinese
Va_mnsEvBghHXvc7uZIWJQ,Spice Symphony,"182 Lexington Ave, New York, NY 10016","40.744722, -73.981202",603,4.0,10016,chinese
3oB2_2vpeIyxJt1GvlcZBA,Baodega,"7 W 20th St, New York, NY 10011","40.74014, -73.99178",155,4.0,10011,chinese
Lp8vAE5nHSt5zbu-lSGK8A,Hop Lee Restaurant,"16 Mott St, New York, NY 10013","40.71426, -73.99849",318,4.0,10013,chinese
WRPJeH3goSpj5ke3Pkrnfw,Burp Bowl Cafe,"134 E 27th St, New York, NY 10010","40.74183, -73.98271",228,4.5,10010,chinese
NXg-oNpx0GYNiErdHb8L5A,Awesum Dimsum,"160 E 23rd St, New York, NY 10010","40.7388534, -73.98367370212858",153,4.5,10010,chinese
-J8VuX3wGrYSOBu2G0hMsw,Katsu-Hama,"11 E 47th St, New York, NY 10017","40.75638, -73.97759",1341,4.0,10017,chinese
SBJHGtqJyfaU47NPjGAU6A,China Jade,"1643 2nd Ave, New York, NY 10028","40.777392, -73.952329",172,3.5,10028,chinese
iHiEMvbpLzNYTMsd5-VnQw,Jacob Soul Food Restaurant,"373 Lenox Ave, New York, NY 10027","40.810025, -73.9439219",358,4.0,10027,chinese
Jy7htqnnxlKB2vZO42_-aw,Ding Asian Szechuan Hot Pot Restaurant,"234 W 48th St, New York, NY 10036","40.76064, -73.98635",193,3.5,10036,chinese
_WXa2M3gz2Mi0ys3s88nDw,La Salle Dumpling Room,"3141 Broadway, New York, NY 10027","40.81407, -73.959833",264,4.0,10027,chinese
RYoc4EBUNOtgbg7c32OG9A,Atoboy,"43 E 28th St, New York, NY 10016","40.74364, -73.98456",388,4.5,10016,chinese
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao - Chelsea,"461 W 23rd St, New York, NY 10011","40.74769301, -74.00350737",671,4.5,10011,chinese
